Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/20 23:00,805,805,299.1121805509459,242.35678725522735,111.63889810819781,21.832227016262863,7.54065715233986
10/20 23:20,805,805,301.4828934506354,241.9566634082763,104.62984685565331,21.77761485826002,8.855653307266211
10/20 23:40,805,805,295.13782489740083,240.01607387140902,96.97469220246238,21.692373461012313,9.897400820793434
10/21 0:00,805,805,293.47481279782164,240.20388019060584,99.3141592920354,21.696221919673246,9.624914908100749
10/21 0:20,805,805,293.9195088676671,238.52148703956343,98.21487039563438,21.80013642564802,9.748635743519781
10/21 0:40,805,805,294.1239782016349,237.93188010899183,96.23773841961852,21.75510899182561,9.830722070844686
10/21 1:00,805,805,297.8972922502334,236.3314659197012,121.16619981325864,21.813881107998753,9.228135698723934
10/21 1:20,805,805,296.1436388508892,235.2390560875513,99.51846785225719,21.739740082079344,10.671340629274965
10/21 1:40,805,805,298.7978502080444,235.12170596393898,96.45769764216367,21.730929264909847,11.051664355062414
10/21 2:00,805,805,297.9776592197399,234.8696232077359,100.16372124041347,21.624041347115707,10.416472157385796
10/21 2:20,805,805,298.7338983050847,233.46101694915254,99.8664406779661,21.753050847457626,10.511525423728813
10/21 2:40,805,805,299.0565649640041,233.79773740143983,97.54645183407611,21.774425779910867,10.874871443263627
10/21 3:00,805,805,297.25051124744374,232.85378323108384,96.99318336741649,21.55231765507839,11.143490115882754
10/21 3:20,805,805,297.29086538461536,232.59237637362637,95.37053571428571,21.713083791208792,11.008241758241759
10/21 3:40,805,805,299.57694784288475,232.96812620734062,113.13296844816485,21.657437218287185,10.83483580167418
10/21 4:00,805,805,298.61441677588465,234.18794233289645,187.0534731323722,21.549017038007864,11.061074705111402
10/21 4:20,805,805,297.6539074960128,237.26023391812865,188.55528973950027,21.641547049441787,11.634768740031898
10/21 4:40,805,805,297.03242094073875,238.98538400212595,187.89077863406857,21.747143236779166,14.361945256444326
10/21 5:00,805,805,295.1988877118644,240.13771186440678,188.62923728813558,21.965969279661017,14.60990466101695
10/21 5:20,805,805,297.42078947368424,242.05789473684212,189.62236842105264,22.078684210526315,15.72578947368421
10/21 5:40,805,805,296.4621251972646,243.2388216728038,195.04155707522358,22.18740136770121,16.202261967385585
10/21 6:00,805,805,294.0241723594325,245.52101944298477,222.4277456647399,22.258670520231213,16.07015239096164
10/21 6:20,805,804.3636363636364,292.6073312236287,246.1648206751055,233.79852320675104,22.22956223628692,16.07357594936709
